EBU_ID;ownICO;function;name;votedICO;rank
9e7c0576-1762-4d39-b9d6-a63f0f8acb11;PT;juror5;Mrs. NAdia Lima Pereira;SI;6
9e7c0576-1a28-4938-a501-a2c56d0b05a1;SM;juror1;Mr. Fabrizio Raggi;SI;8
9e7c0576-1aca-4417-89cc-e6defb1448c1;SM;juror2;Mrs. Olivia Marani;SI;9
9e7c0576-1b72-486d-9c80-21d576ca947a;SM;juror3;Mrs. Sofia Toccaceli;SI;2
9e7c0576-1c12-4c15-8d11-686bf7e9b104;SM;juror4;Mr. Alessandro Riccardi;SI;4
9e7c0576-1cb9-45eb-98fb-919ed01863a5;SM;juror5;Mr. Piermatteo Carattoni;SI;1
9e7c0575-f815-41f4-a7ba-ad5eeb3ba06b;NL;juror1;Mr. Frits Ritmeester;SI;2
9e7c0575-fa13-4c23-9e91-8c94ef3176dd;NL;juror2;Mrs. Quinty Mesiedjan;SI;9
9e7c0575-f8ca-4baf-a7c6-d3de00dc6c7c;NL;juror3;Mr. Dennis van Leeuwen;SI;7
9e7c0575-f96d-46f7-9b48-c0092e163ac9;NL;juror4;Mr. Ronald de Bas;SI;4
9e7c0575-fabe-4274-b5fd-bf5f776eda4f;NL;juror5;Mrs. Gaia Tiana Marlene Aikman;SI;7
9e7c0576-0fc6-4a50-ba8f-a1486572941f;PL;juror1;Mr. Krystian Ochman;SI;3
9e7c0576-0f1f-4fc0-8f5b-902167f9d477;PL;juror2;Ms. Tycjana Acquasanta;SI;12
9e7c0576-0d16-4ff3-bc12-eac45d1341de;PL;juror3;Mrs. Katarzyna Walczak;SI;6
9e7c0576-0c69-4624-948a-29e299b7d87e;PL;juror4;Mrs. Anna Jurksztowicz;SI;6
9e7c0576-0dc6-4179-9024-3386b489a876;PL;juror5;Mr. Jan Stokosa;SI;4
